CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	ka-	4	0.49368	0.669542	0.018497	0.0812073	0.00777868	6.13221	1.80203	6771.08	5174.11	0.686022	0.0446924	0.039551	0.00243135	0.000892737	0.000160387	0.726465	0.0472841	0.940164	0.0605722	0.131697	0.00853032	0.000926243	0.000165948	1.07279	0.0692685	0.874435	0.0556871	0.0750347	0.00463244	0.000479483	0.000160387	0.949949	0.06048	1.24729	0.0788741	0.0750347	0.00463244	0.000479483	8.27483e-05	1.32281	0.0835893	110	11
7.7	ka-	5	0.49368	0.723145	0.0386226	0.0855203	0.00549753	13.5558	5.89776	2891.16	1449.34	0.395156	0.0266701	0.0256415	0.00132081	0.00100032	0.000650133	0.421798	0.028641	0.550158	0.0365965	0.0854445	0.00458557	0.00104094	0.000676015	0.636644	0.0418581	0.514781	0.0338248	0.0486493	0.00251436	0.000556343	0.000650133	0.563987	0.0369893	0.744897	0.0484613	0.0486493	0.00251436	0.000556343	0.000357887	0.794102	0.0513335	72	10
7.7	ka-	6	0.49368	0.658771	0.039813	0.0818001	0.00694781	10.6182	5.99883	2329.84	1579.66	0.211692	0.0155557	0.0151412	0.000914629	0.000276653	8.20733e-05	0.22711	0.0165524	0.298235	0.0214313	0.0505634	0.00320585	0.000288322	8.52331e-05	0.349087	0.0247224	0.280636	0.0198702	0.0287323	0.0017425	0.000156918	8.20733e-05	0.309525	0.0216948	0.410071	0.0285523	0.0287323	0.0017425	0.000156918	4.44578e-05	0.43896	0.0303393	45	9
7.7	ka-	7	0.49368	0.819585	0.105429	0.0838457	0.00481463	33.3095	24.0255	883.292	406.216	0.0892245	0.00735699	0.00709209	0.000417467	0.00058947	0.000359161	0.0969061	0.00813362	0.127382	0.0102038	0.0237132	0.001456	0.000617951	0.000372982	0.151713	0.0120327	0.120456	0.00952706	0.0134595	0.000795015	0.000353326	0.000359161	0.134268	0.0106812	0.178003	0.0137441	0.0134595	0.000795015	0.000353326	0.000192022	0.191816	0.0147312	26	7
7.7	ka-	8	0.49368	0.994762	0.265587	0.0851022	0.00314936	86.3294	42.6899	337.59	104.133	0.0355854	0.00369268	0.00305348	0.000227985	0.00138087	0.0176374	0.0400198	0.0215581	0.0516976	0.0051784	0.0102095	0.000778243	0.00142088	0.0177377	0.0633279	0.0236944	0.0493864	0.00489798	0.00579495	0.000433401	0.000586417	0.0176374	0.0557677	0.0229688	0.0738777	0.00710483	0.00579495	0.000433401	0.000586417	0.00366648	0.0802591	0.0112047	14	4
7.7	ka+	0	0.49368	0.746462	0.0201618	0.0777732	0.00665323	4.37141	0.426034	87738	61873.1	8.21504	0.52403	0.343489	0.0214885	0.00787268	0.000837418	8.5664	0.546356	10.7796	0.681635	1.14188	0.0755187	0.00808569	0.000858738	11.9296	0.758012	9.72119	0.606894	0.651563	0.0409476	0.00361937	0.000837418	10.3764	0.648679	13.3663	0.830052	0.651563	0.0409476	0.00361937	0.000373162	14.0215	0.871373	337	2
7.7	ka+	1	0.49368	0.721805	0.021396	0.0816193	0.00737729	4.48549	0.59584	50547.7	36241.8	6.76368	0.425604	0.285539	0.0173387	0.00850864	0.000973377	7.05773	0.443916	8.92605	0.556883	0.947278	0.0606515	0.0087625	0.00100043	9.88209	0.618535	8.10239	0.499157	0.541547	0.0330274	0.00409781	0.000973377	8.64803	0.533157	11.186	0.685763	0.541547	0.0330274	0.00409781	0.000452056	11.7316	0.719243	290	6
7.7	ka+	2	0.49368	0.74252	0.0189968	0.0752614	0.00618067	4.51548	0.431034	71469.7	49829.6	4.78195	0.298012	0.220612	0.0139978	0.00560019	0.000563441	5.00816	0.312573	6.33425	0.39159	0.735073	0.0493104	0.00576816	0.000579294	7.07509	0.44148	5.74971	0.351189	0.418556	0.0266786	0.00270454	0.000563441	6.17097	0.378431	7.97407	0.484929	0.418556	0.0266786	0.00270454	0.000263362	8.39533	0.511871	226	8
7.7	ka+	3	0.49368	0.728075	0.0165179	0.0785108	0.00567332	5.26124	0.607525	35726	21274	3.18774	0.199002	0.15641	0.00911101	0.00338222	0.000355537	3.34753	0.208469	4.25996	0.263775	0.520829	0.0319172	0.00348358	0.000365524	4.78428	0.296057	3.88955	0.237986	0.296734	0.017357	0.00163263	0.000355537	4.18792	0.255698	5.43683	0.331225	0.296734	0.017357	0.00163263	0.000166036	5.73519	0.348748	160	10
7.7	ka+	4	0.49368	0.711695	0.0182514	0.0787458	0.00662036	5.21199	0.794678	21717.4	14945.9	1.9179	0.119934	0.097737	0.00589818	0.00256411	0.000315175	2.0182	0.126147	2.57994	0.160118	0.325421	0.0207072	0.00264963	0.00032495	2.90801	0.18115	2.37038	0.145589	0.185421	0.0112383	0.00130225	0.000315175	2.5571	0.157143	3.32942	0.203663	0.185421	0.0112383	0.00130225	0.000154248	3.51614	0.215055	110	11
