E	part	mass	beta	beta_err	temp	temp_err	n(v-prof.)	n_err	norm	norm_err	dETdEta_d	dETdEta_d_err	dETdEta_left	dETdEta_leftErr	dETdEta_right	dETdEta_rightErr
0	ka+	0.49368	0.695767	0.0169697	0.0752337	0.00624689	6.21606	1.20458	11107.9	7844.53	0.169049	0.0109091	0.036754	ETlErr	0.000739995	ETrErr
0	ka+	0.49368	0.661414	0.0216345	0.0750868	0.0082368	6.05776	1.87055	5295.49	4919.98	0.0769829	0.00518514	0.0174299	ETlErr	0.000354797	ETrErr
0	ka+	0.49368	0.722477	0.0555688	0.0851217	0.00328509	16.801	6.43373	809.714	245.56	0.0308853	0.00244018	0.00705241	ETlErr	0.000461248	ETrErr
0	pba	0.93827	0.645329	0.0632361	0.0880345	0.00536132	2.55813	0.795285	31391.7	24358.4	0.0630858	0.0058783	0.0151379	ETlErr	0.012133	ETrErr
0	pba	0.93827	0.684089	0.0293865	0.0568365	0.00337382	2.43994	0.497399	1.95541e+07	2.03816e+07	0.0521595	0.00502569	0.0152325	ETlErr	0.00710259	ETrErr
0	pba	0.93827	0.6171	0.0534252	0.0817486	0.00921126	2.94035	1.20943	58463.8	85682.8	0.0421751	0.00377478	0.012191	ETlErr	0.00555667	ETrErr
0	pba	0.93827	0.623722	0.0467337	0.0756845	0.00278985	3.08537	0.870937	126297	67857	0.0308307	0.00284859	0.00967892	ETlErr	0.00361752	ETrErr
0	pba	0.93827	0.637988	0.0642097	0.07836	0.00438404	4.40428	1.53681	61897	51050.1	0.0226523	0.00217786	0.00807927	ETlErr	0.00253188	ETrErr
0	pba	0.93827	0.667735	0.0570697	0.0707474	0.0100448	5.59866	2.04831	196031	441018	0.0149683	0.00154146	0.00646798	ETlErr	0.00155919	ETrErr
0	pba	0.93827	0.500031	0.394084	0.0513065	0.00458243	2.15365	0.59003	3.20967e+07	5.44017e+07	0.00855483	0.000949646	0.00444027	ETlErr	0.000635366	ETrErr
0	pba	0.93827	0.500008	0.359572	0.0480849	0.00408575	2.71656	0.794772	6.93313e+07	1.19261e+08	0.00431869	0.000560626	0.00271039	ETlErr	0.000250102	ETrErr
0	pba	0.93827	0.547231	0.258778	0.0489818	0.00547555	3.79555	4.39882	2.6241e+07	6.02874e+07	0.00196596	0.000349255	0.00152872	ETlErr	0.000515795	ETrErr
0	pro	0.93827	0.582598	0.0230738	0.106599	0.00559251	2.75658	0.597923	498403	270605	1.49382	0.126991	0.0489906	ETlErr	0.0612862	ETrErr
0	pro	0.93827	0.600261	0.0785068	0.101908	0.0294261	2.95215	0.827848	692817	2.18288e+06	1.24503	0.105841	0.043178	ETlErr	0.0494016	ETrErr
